iter	Passed	Remaining
314	1412	3072
315	1421	3077
316	1426	3073
317	1428	3064
318	1431	3055
319	1433	3046
320	1438	3042
321	1440	3032
322	1443	3024
323	1445	3015
324	1447	3006
325	1452	3002
326	1454	2993
327	1456	2984
328	1458	2975
329	1460	2966
330	1463	2957
331	1467	2952
332	1469	2943
333	1472	2935
334	1474	2926
335	1476	2917
336	1478	2909
337	1483	2905
338	1485	2896
339	1487	2888
340	1490	2879
341	1492	2870
342	1496	2865
343	1498	2858
344	1500	2849
345	1503	2841
346	1505	2832
347	1507	2825
348	1512	2820
349	1519	2822
350	1522	2814
351	1524	2806
352	1529	2803
353	1531	2795
354	1533	2787
355	1536	2779
356	1538	2771
357	1543	2767
358	1545	2759
359	1548	2752
360	1551	2745
361	1553	2737
362	1555	2729
363	1560	2726
364	1562	2718
365	1564	2710
366	1574	2716
367	1577	2708
368	1579	2700
369	1581	2693
370	1584	2685
371	1586	2678
372	1591	2674
373	1593	2667
374	1595	2659
375	1598	2652
376	1600	2644
377	1604	2640
378	1606	2632
379	1608	2624
380	1610	2617
381	1613	2609
382	1615	2602
383	1617	2594
384	1620	2588
385	1622	2581
386	1624	2573
387	1627	2566
388	1629	2559
389	1634	2555
390	1636	2548
391	1638	2541
392	1640	2534
393	1643	2527
394	1645	2520
395	1650	2517
396	1652	2510
397	1654	2503
398	1657	2496
399	1659	2489
400	1661	2482
401	1666	2478
402	1668	2471
403	1670	2464
404	1672	2457
405	1675	2450
406	1677	2443
407	1682	2441
408	1684	2434
409	1687	2427
410	1689	2421
411	1691	2414
412	1696	2411
413	1699	2406
414	1702	2399
415	1704	2392
416	1708	2388
417	1715	2388
418	1717	2381
419	1720	2375
420	1725	2372
421	1727	2366
422	1729	2359
423	1732	2353
424	1734	2347
425	1737	2340
426	1740	2335
427	1742	2329
428	1744	2322
429	1747	2316
430	1749	2309
431	1751	2303
432	1755	2298
433	1757	2292
434	1760	2286
435	1762	2279
436	1764	2273
437	1767	2267
438	1769	2261
439	1771	2254
440	1773	2248
441	1775	2241
442	1778	2235
443	1780	2229
444	1783	2223
445	1785	2217
446	1787	2211
447	1789	2205
448	1791	2199
449	1794	2193
450	1797	2187
451	1799	2181
452	1801	2175
453	1803	2169
454	1805	2163
455	1807	2156
456	1810	2150
457	1812	2144
458	1814	2138
459	1816	2132
460	1818	2126
461	1820	2120
462	1822	2114
463	1828	2111
464	1830	2105
465	1832	2100
466	1834	2094
467	1836	2088
468	1839	2082
469	1841	2076
470	1844	2071
471	1847	2066
472	1849	2060
473	1851	2054
474	1853	2048
475	1856	2043
476	1858	2037
477	1860	2031
478	1862	2026
479	1865	2020
480	1867	2014
481	1870	2010
482	1872	2004
483	1875	1999
484	1877	1993
485	1879	1987
486	1881	1982
487	1884	1976
488	1886	1971
489	1888	1965
490	1890	1960
491	1893	1954
492	1895	1949
493	1897	1943
494	1899	1938
495	1902	1932
496	1904	1927
497	1906	1921
498	1908	1916
499	1910	1910
500	1912	1905
501	1915	1899
502	1917	1894
503	1919	1889
504	1921	1883
505	1924	1878
506	1926	1873
507	1928	1867
508	1930	1862
509	1939	1863
510	1948	1864
511	1969	1877
512	1977	1877
513	1979	1872
514	1982	1866
515	1985	1862
516	1987	1856
517	1989	1851
518	1992	1846
519	1994	1841
520	1996	1835
521	1999	1831
522	2002	1826
523	2005	1821
524	2007	1816
525	2009	1811
526	2011	1805
527	2016	1803
528	2022	1801
529	2028	1798
530	2035	1798
531	2038	1793
532	2041	1788
533	2044	1784
534	2047	1779
535	2049	1774
536	2051	1768
537	2053	1763
538	2056	1758
539	2062	1756
540	2064	1751
541	2066	1746
542	2068	1741
543	2070	1735
544	2073	1730
545	2075	1725
546	2077	1720
547	2079	1715
548	2082	1710
549	2084	1705
550	2086	1700
551	2088	1695
552	2091	1690
553	2093	1685
554	2095	1680
555	2097	1675
556	2100	1670
557	2102	1665
558	2104	1660
559	2106	1655
560	2108	1650
561	2110	1644
562	2112	1639
563	2117	1636
564	2119	1631
565	2121	1626
566	2123	1621
567	2125	1616
568	2127	1611
569	2130	1607
570	2132	1602
571	2135	1597
572	2137	1592
573	2139	1587
574	2141	1583
575	2144	1578
576	2146	1573
577	2149	1569
578	2151	1564
579	2153	1559
580	2156	1555
581	2158	1550
582	2160	1545
583	2162	1540
584	2165	1536
585	2167	1531
586	2170	1526
587	2172	1522
588	2174	1517
589	2176	1512
590	2179	1508
591	2181	1503
592	2183	1498
593	2186	1494
594	2188	1489
595	2191	1485
596	2193	1480
597	2195	1476
598	2198	1471
599	2200	1466
600	2202	1462
601	2205	1457
602	2207	1453
603	2209	1448
604	2211	1444
605	2214	1439
606	2216	1435
607	2219	1430
608	2221	1426
609	2223	1421
610	2225	1417
611	2228	1412
612	2230	1408
613	2233	1403
614	2235	1399
615	2237	1394
616	2239	1390
617	2241	1385
618	2244	1381
619	2246	1376
620	2248	1372
621	2250	1367
622	2253	1363
623	2255	1359
624	2257	1354
625	2259	1350
626	2261	1345
627	2263	1340
628	2265	1336
629	2268	1332
630	2270	1327
631	2272	1323
632	2275	1319
633	2277	1314
634	2279	1310
635	2282	1306
636	2284	1301
637	2286	1297
638	2288	1292
639	2290	1288
640	2292	1284
641	2294	1279
642	2296	1275
643	2299	1270
644	2301	1266
645	2304	1262
646	2306	1258
647	2308	1254
648	2311	1249
649	2313	1245
650	2315	1241
651	2320	1238
652	2323	1234
653	2326	1230
654	2328	1226
655	2330	1222
656	2333	1218
657	2335	1213
658	2338	1210
659	2341	1206
660	2343	1202
661	2346	1197
662	2349	1194
663	2355	1192
664	2358	1187
665	2361	1184
666	2363	1180
667	2365	1175
668	2368	1171
669	2370	1167
670	2372	1163
671	2374	1159
672	2376	1154
673	2378	1150
674	2381	1146
675	2383	1142
676	2385	1138
677	2387	1133
678	2390	1129
679	2392	1125
680	2394	1121
681	2396	1117
682	2398	1113
683	2401	1109
684	2404	1105
685	2406	1101
686	2408	1097
687	2410	1093
688	2412	1089
689	2414	1084
690	2420	1082
691	2426	1079
692	2429	1076
693	2431	1072
694	2433	1068
695	2436	1064
696	2438	1060
697	2440	1056
698	2443	1052
699	2445	1048
700	2448	1044
701	2450	1040
702	2452	1036
703	2454	1031
704	2456	1028
705	2458	1023
706	2460	1019
707	2462	1015
708	2464	1011
709	2466	1007
710	2469	1003
711	2471	999
712	2475	996
713	2478	992
714	2480	988
715	2482	984
716	2484	980
717	2486	976
718	2489	972
719	2491	968
720	2493	965
721	2496	961
722	2498	957
723	2500	953
724	2503	949
725	2505	945
726	2507	941
727	2510	937
728	2512	933
729	2514	930
730	2516	926
731	2519	922
732	2522	918
733	2524	914
734	2526	910
735	2528	907
736	2530	903
737	2533	899
738	2535	895
739	2537	891
740	2539	887
741	2541	883
742	2544	880
743	2546	876
744	2549	872
745	2551	868
746	2553	864
747	2555	861
748	2557	857
749	2560	853
750	2562	849
751	2564	845
752	2566	842
753	2569	838
754	2571	834
755	2573	830
756	2576	827
757	2578	823
758	2581	819
759	2583	815
760	2585	811
761	2587	808
762	2590	804
763	2593	801
764	2595	797
765	2597	793
766	2600	789
767	2602	786
768	2604	782
769	2607	778
770	2609	775
771	2611	771
772	2613	767
773	2615	763
774	2618	760
775	2620	756
776	2622	752
777	2625	749
778	2627	745
779	2629	741
780	2631	737
781	2634	734
782	2636	730
783	2638	727
784	2641	723
785	2643	719
786	2645	715
787	2647	712
788	2650	708
789	2652	705
790	2655	701
791	2657	697
792	2659	694
793	2662	690
794	2664	687
795	2666	683
796	2669	679
797	2671	676
798	2673	672
799	2675	668
800	2677	665
801	2679	661
802	2682	657
803	2684	654
804	2686	650
805	2688	647
806	2690	643
807	2692	639
808	2697	636
809	2700	633
810	2702	629
811	2704	626
812	2706	622
813	2714	620
814	2717	616
815	2720	613
816	2722	609
817	2724	606
818	2726	602
819	2728	598
820	2730	595
821	2733	591
822	2735	588
823	2737	584
824	2739	581
825	2742	577
826	2744	574
827	2746	570
828	2749	567
829	2751	563
830	2754	560
831	2756	556
832	2758	553
833	2760	549
834	2763	545
835	2765	542
836	2767	539
837	2770	535
838	2772	532
839	2775	528
840	2777	525
841	2779	521
842	2782	518
843	2784	514
844	2786	511
845	2789	507
846	2791	504
847	2793	500
848	2795	497
849	2798	493
850	2800	490
851	2802	486
852	2805	483
853	2807	479
854	2810	476
855	2813	473
856	2815	469
857	2818	466
858	2820	463
859	2823	459
860	2825	456
861	2827	452
862	2830	449
863	2833	446
864	2835	442
865	2837	439
866	2840	435
867	2843	432
868	2846	429
869	2848	425
870	2850	422
871	2852	418
872	2855	415
873	2857	411
874	2859	408
875	2862	405
876	2865	401
877	2868	398
878	2870	395
879	2874	392
880	2881	389
881	2883	385
882	2887	382
883	2889	379
884	2891	375
885	2893	372
886	2896	368
887	2898	365
888	2900	362
889	2903	358
890	2905	355
891	2907	352
892	2910	348
893	2912	345
894	2914	341
895	2917	338
896	2919	335
897	2921	331
898	2924	328
899	2926	325
900	2928	321
901	2930	318
902	2933	315
903	2935	311
904	2937	308
905	2939	305
906	2941	301
907	2944	298
908	2946	294
909	2948	291
910	2951	288
911	2953	284
912	2955	281
913	2957	278
914	2963	275
915	2968	272
916	2970	268
917	2973	265
918	2975	262
919	2977	258
920	2980	255
921	2983	252
922	2985	249
923	2988	245
924	2990	242
925	2992	239
926	2994	235
927	2997	232
928	2999	229
929	3001	225
930	3003	222
931	3005	219
932	3007	216
933	3010	212
934	3011	209
935	3014	206
936	3016	202
937	3018	199
938	3020	196
939	3022	192
940	3024	189
941	3027	186
942	3032	183
943	3037	180
944	3040	176
945	3043	173
946	3045	170
947	3047	167
948	3050	163
949	3053	160
950	3055	157
951	3058	154
952	3061	150
953	3064	147
954	3066	144
955	3070	141
956	3072	138
957	3075	134
958	3077	131
959	3080	128
960	3082	125
961	3086	121
962	3094	118
963	3097	115
964	3099	112
965	3102	109
966	3105	105
967	3107	102
968	3109	99
969	3111	96
970	3114	93
971	3116	89
972	3118	86
973	3120	83
974	3122	80
975	3124	76
976	3127	73
977	3130	70
978	3132	67
979	3134	63
980	3136	60
981	3139	57
982	3141	54
983	3144	51
984	3146	47
985	3148	44
986	3150	41
987	3153	38
988	3155	35
989	3157	31
990	3159	28
991	3162	25
992	3164	22
993	3166	19
994	3169	15
995	3171	12
996	3173	9
997	3176	6
998	3178	3
999	3180	0
